currency,rate,date
RUB,74.6465,2016-04-20
TRY,3.2011,2016-04-20
AUD,1.4556,2016-04-20
BRL,4.0362,2016-04-20
CAD,1.4421,2016-04-20
CNY,7.3578,2016-04-20
HKD,8.8272,2016-04-20
IDR,14973.62,2016-04-20
ILS,4.2766,2016-04-20
INR,75.327,2016-04-20
KRW,1285.04,2016-04-20
MXN,19.706,2016-04-20
MYR,4.395,2016-04-20
NZD,1.6231,2016-04-20
PHP,52.626,2016-04-20
SGD,1.5246,2016-04-20
THB,39.656,2016-04-20
ZAR,16.1623,2016-04-20
USD,1.1343,2016-04-19
JPY,124.1,2016-04-19
BGN,1.9558,2016-04-19
CZK,27.021,2016-04-19
DKK,7.4423,2016-04-19
GBP,0.78975,2016-04-19
HUF,310.51,2016-04-19
PLN,4.3027,2016-04-19
RON,4.4813,2016-04-19
SEK,9.1773,2016-04-19
CHF,1.0922,2016-04-19
NOK,9.2578,2016-04-19
HRK,7.5005,2016-04-19
RUB,74.4242,2016-04-19
TRY,3.2136,2016-04-19
AUD,1.4547,2016-04-19
BRL,4.0408,2016-04-19
CAD,1.4418,2016-04-19
CNY,7.3372,2016-04-19
HKD,8.7971,2016-04-19
IDR,14858.2,2016-04-19
ILS,4.2746,2016-04-19
INR,75.4905,2016-04-19
KRW,1277.28,2016-04-19
MXN,19.5947,2016-04-19
MYR,4.37,2016-04-19
NZD,1.6127,2016-04-19
PHP,52.29,2016-04-19
SGD,1.5197,2016-04-19
THB,39.587,2016-04-19
ZAR,16.2034,2016-04-19
USD,1.1306,2016-04-18
JPY,122.32,2016-04-18
BGN,1.9558,2016-04-18
CZK,27.022,2016-04-18
DKK,7.4417,2016-04-18
GBP,0.7978,2016-04-18
HUF,310.33,2016-04-18
PLN,4.3059,2016-04-18
RON,4.4749,2016-04-18
SEK,9.1948,2016-04-18
CHF,1.0916,2016-04-18
NOK,9.3325,2016-04-18
HRK,7.505,2016-04-18
RUB,76.7591,2016-04-18
TRY,3.2251,2016-04-18
AUD,1.4685,2016-04-18
BRL,3.9606,2016-04-18
CAD,1.4612,2016-04-18
CNY,7.3241,2016-04-18
HKD,8.7688,2016-04-18
IDR,14890.95,2016-04-18
ILS,4.2702,2016-04-18
INR,75.274,2016-04-18
KRW,1299.62,2016-04-18
MXN,19.9043,2016-04-18
MYR,4.4404,2016-04-18
NZD,1.6303,2016-04-18
PHP,52.253,2016-04-18
SGD,1.5328,2016-04-18
THB,39.605,2016-04-18
ZAR,16.5061,2016-04-18
USD,1.1284,2016-04-15
JPY,122.91,2016-04-15
BGN,1.9558,2016-04-15
CZK,27.025,2016-04-15
DKK,7.4414,2016-04-15
GBP,0.79575,2016-04-15
HUF,310.54,2016-04-15
PLN,4.2967,2016-04-15
RON,4.4728,2016-04-15
SEK,9.1902,2016-04-15
CHF,1.0919,2016-04-15
NOK,9.3044,2016-04-15
HRK,7.5005,2016-04-15
RUB,75.0125,2016-04-15
TRY,3.2212,2016-04-15
AUD,1.4648,2016-04-15
BRL,3.9387,2016-04-15
CAD,1.4535,2016-04-15
CNY,7.3072,2016-04-15
HKD,8.7527,2016-04-15
IDR,14862.67,2016-04-15
ILS,4.2675,2016-04-15
INR,75.1425,2016-04-15
KRW,1295.12,2016-04-15
MXN,19.7927,2016-04-15
MYR,4.4085,2016-04-15
NZD,1.6334,2016-04-15
PHP,52.051,2016-04-15
SGD,1.533,2016-04-15
THB,39.584,2016-04-15
ZAR,16.4424,2016-04-15
USD,1.1252,2016-04-14
JPY,123.09,2016-04-14
BGN,1.9558,2016-04-14
CZK,27.028,2016-04-14
DKK,7.4415,2016-04-14
GBP,0.7956,2016-04-14
HUF,311.25,2016-04-14
PLN,4.2992,2016-04-14
RON,4.4728,2016-04-14
SEK,9.158,2016-04-14
CHF,1.0878,2016-04-14
NOK,9.264,2016-04-14
HRK,7.4822,2016-04-14
RUB,74.2429,2016-04-14
TRY,3.2203,2016-04-14
AUD,1.461,2016-04-14
BRL,3.9586,2016-04-14
CAD,1.4434,2016-04-14
CNY,7.297,2016-04-14
HKD,8.7283,2016-04-14
IDR,14844.32,2016-04-14
ILS,4.2642,2016-04-14
INR,74.8648,2016-04-14
